#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 02 01 32 999 99.0 99.0  1.74  5.00  4.83 140 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 02 02 02 999 99.0 99.0  1.72 11.11  5.03 307 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 02 02 32 999 99.0 99.0  1.61  5.00  4.91 130 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 02 03 02 999 99.0 99.0  1.63  4.76  4.90 140 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 02 03 32 999 99.0 99.0  1.70  5.00  4.78 138 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 02 04 02 999 99.0 99.0  1.58  4.76  4.71 151 9999.0 999.0  12.6 999.0 99.0 99.00
2011 01 02 04 32 999 99.0 99.0  1.67  5.00  4.81 134 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 02 05 02 999 99.0 99.0  1.71  4.76  4.71 144 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 02 05 32 999 99.0 99.0  1.79 11.11  4.76 296 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 02 06 02 999 99.0 99.0  1.70  4.76  4.72 135 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 02 06 32 999 99.0 99.0  1.89  5.00  4.77 130 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 07 02 999 99.0 99.0  1.91  5.26  4.82 144 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 07 32 999 99.0 99.0  1.95  5.00  4.92 130 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 08 02 999 99.0 99.0  1.89  5.26  4.97 135 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 08 32 999 99.0 99.0  2.00  5.26  5.10 138 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 09 02 999 99.0 99.0  2.26  5.26  5.29 130 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 09 32 999 99.0 99.0 99.00 99.00 99.00 314 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 10 02 999 99.0 99.0  2.38  5.56  5.63 142 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 10 32 999 99.0 99.0  2.47  5.88  5.77 145 9999.0 999.0  12.3 999.0 99.0 99.00
2011 01 02 11 02 999 99.0 99.0  2.44  5.88  5.79 141 9999.0 999.0  12.3 999.0 99.0 99.00
2011 01 02 11 32 999 99.0 99.0  2.63 16.67  6.21 303 9999.0 999.0  12.3 999.0 99.0 99.00
2011 01 02 12 02 999 99.0 99.0  2.84 16.67  6.21 306 9999.0 999.0  12.3 999.0 99.0 99.00
2011 01 02 12 32 999 99.0 99.0  3.04 16.67  6.65 307 9999.0 999.0  12.3 999.0 99.0 99.00
2011 01 02 13 02 999 99.0 99.0  2.91 16.67  6.36 307 9999.0 999.0  12.3 999.0 99.0 99.00
2011 01 02 13 32 999 99.0 99.0  2.76  6.25  6.09 135 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 14 02 999 99.0 99.0  3.06 16.67  6.47 307 9999.0 999.0  12.3 999.0 99.0 99.00
2011 01 02 14 32 999 99.0 99.0  3.02 16.67  6.60 307 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 15 02 999 99.0 99.0  2.91 16.67  6.54 304 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 15 32 999 99.0 99.0  3.12 14.29  6.54 306 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 16 02 999 99.0 99.0  3.45 16.67  6.80 306 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 02 17 02 999 99.0 99.0  3.50 14.29  7.04 303 9999.0 999.0  12.3 999.0 99.0 99.00
2011 01 02 17 32 999 99.0 99.0  3.89 16.67  7.45 306 9999.0 999.0  12.2 999.0 99.0 99.00
2011 01 02 18 02 999 99.0 99.0  3.72 16.67  7.30 301 9999.0 999.0  12.2 999.0 99.0 99.00
2011 01 02 18 32 999 99.0 99.0  3.68 14.29  7.52 303 9999.0 999.0  12.2 999.0 99.0 99.00
2011 01 02 19 02 999 99.0 99.0  3.71 13.33  7.55 301 9999.0 999.0  12.2 999.0 99.0 99.00
2011 01 02 19 32 999 99.0 99.0  3.81 15.38  7.64 303 9999.0 999.0  12.2 999.0 99.0 99.00
2011 01 02 20 02 999 99.0 99.0  3.95 16.67  8.16 306 9999.0 999.0  12.2 999.0 99.0 99.00
2011 01 02 20 32 999 99.0 99.0  3.65 16.67  7.67 308 9999.0 999.0  12.2 999.0 99.0 99.00
2011 01 02 21 02 999 99.0 99.0  3.77 16.67  7.73 307 9999.0 999.0  12.2 999.0 99.0 99.00
2011 01 02 21 32 999 99.0 99.0  3.75 16.67  8.02 303 9999.0 999.0  12.2 999.0 99.0 99.00
2011 01 02 22 02 999 99.0 99.0  3.66 16.67  7.91 298 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 02 22 32 999 99.0 99.0  3.48 14.29  7.74 301 9999.0 999.0  12.2 999.0 99.0 99.00
2011 01 02 23 02 999 99.0 99.0  3.36 15.38  7.73 294 9999.0 999.0  12.2 999.0 99.0 99.00
2011 01 02 23 32 999 99.0 99.0  3.62 15.38  8.37 297 9999.0 999.0  12.2 999.0 99.0 99.00
2011 01 03 00 02 999 99.0 99.0  3.63 15.38  8.11 306 9999.0 999.0  12.2 999.0 99.0 99.00
2011 01 03 00 32 999 99.0 99.0  3.27 13.33  7.68 311 9999.0 999.0  12.2 999.0 99.0 99.00
2011 01 03 01 02 999 99.0 99.0  3.22 14.29  7.95 300 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 03 01 32 999 99.0 99.0  3.32 15.38  8.03 297 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 03 02 02 999 99.0 99.0  3.25 15.38  8.37 311 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 03 03 02 999 99.0 99.0  3.22 15.38  8.14 304 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 03 03 32 999 99.0 99.0  3.21 15.38  7.70 300 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 03 04 02 999 99.0 99.0  2.96 14.29  8.24 300 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 03 04 32 999 99.0 99.0  3.05 15.38  8.30 298 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 03 05 02 999 99.0 99.0  3.21 14.29  8.53 306 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 03 05 32 999 99.0 99.0  2.96 14.29  8.30 304 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 03 06 02 999 99.0 99.0  2.95 14.29  8.21 300 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 03 06 32 999 99.0 99.0  3.30 13.33  8.42 294 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 03 07 02 999 99.0 99.0  3.35 12.50  8.20 294 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 03 07 32 999 99.0 99.0  2.86 14.29  7.57 296 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 03 08 02 999 99.0 99.0  3.25 11.11  8.15 293 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 03 08 32 999 99.0 99.0  3.37 13.33  8.51 294 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 03 09 02 999 99.0 99.0  3.49 12.50  8.55 291 9999.0 999.0  12.1 999.0 99.0 99.00
2011 01 03 09 32 999 99.0 99.0  3.26 14.29  8.39 296 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 03 10 02 999 99.0 99.0  3.03 13.33  8.01 297 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 03 10 32 999 99.0 99.0  3.25 13.33  8.49 291 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 03 11 02 999 99.0 99.0  3.28 14.29  8.33 289 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 03 11 32 999 99.0 99.0  2.95 12.50  8.24 296 9999.0 999.0  11.9 999.0 99.0 99.00
2011 01 03 12 02 999 99.0 99.0  3.01 11.76  8.54 296 9999.0 999.0  11.9 999.0 99.0 99.00
2011 01 03 12 32 999 99.0 99.0  3.37 12.50  9.00 298 9999.0 999.0  11.9 999.0 99.0 99.00
2011 01 03 13 02 999 99.0 99.0  3.10 11.11  8.52 287 9999.0 999.0  11.9 999.0 99.0 99.00
2011 01 03 13 32 999 99.0 99.0  2.98 11.76  8.56 293 9999.0 999.0  11.9 999.0 99.0 99.00
2011 01 03 14 32 999 99.0 99.0  2.99 14.29  8.66 300 9999.0 999.0  11.9 999.0 99.0 99.00
2011 01 03 15 02 999 99.0 99.0  3.25 13.33  9.07 297 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 03 15 32 999 99.0 99.0  2.87 13.33  8.74 301 9999.0 999.0  12.0 999.0 99.0 99.00
