#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 01 01 05 40 999 99.0 99.0  2.50 18.18  9.45 284 9999.0 999.0  13.3 999.0 99.0 99.00
2013 01 01 06 10 999 99.0 99.0  2.44 18.18  9.61 286 9999.0 999.0  13.3 999.0 99.0 99.00
2013 01 01 06 40 999 99.0 99.0  2.53 18.18  9.97 287 9999.0 999.0  13.3 999.0 99.0 99.00
2013 01 01 07 10 999 99.0 99.0  3.00 18.18 11.07 290 9999.0 999.0  13.3 999.0 99.0 99.00
2013 01 01 07 40 999 99.0 99.0  2.65 18.18 10.68 294 9999.0 999.0  13.3 999.0 99.0 99.00
2013 01 01 08 10 999 99.0 99.0  2.89 16.67 11.19 291 9999.0 999.0  13.3 999.0 99.0 99.00
2013 01 01 08 40 999 99.0 99.0  2.70 18.18 11.11 290 9999.0 999.0  13.3 999.0 99.0 99.00
2013 01 01 09 10 999 99.0 99.0  2.98 18.18 11.51 287 9999.0 999.0  13.3 999.0 99.0 99.00
2013 01 01 09 40 999 99.0 99.0  2.83 16.67 11.22 290 9999.0 999.0  13.3 999.0 99.0 99.00
2013 01 01 10 10 999 99.0 99.0  2.63 16.67 11.22 286 9999.0 999.0  13.3 999.0 99.0 99.00
2013 01 01 10 40 999 99.0 99.0  2.30 16.67  9.95 290 9999.0 999.0  13.3 999.0 99.0 99.00
2013 01 01 11 10 999 99.0 99.0  2.52 18.18 11.11 296 9999.0 999.0  13.3 999.0 99.0 99.00
2013 01 01 11 40 999 99.0 99.0  2.82 16.67 12.80 291 9999.0 999.0  13.3 999.0 99.0 99.00
2013 01 01 12 10 999 99.0 99.0  2.44 18.18 11.69 297 9999.0 999.0  13.1 999.0 99.0 99.00
2013 01 01 12 40 999 99.0 99.0  2.38 18.18 11.84 291 9999.0 999.0  13.1 999.0 99.0 99.00
2013 01 01 13 10 999 99.0 99.0  2.59 16.67 12.39 286 9999.0 999.0  13.1 999.0 99.0 99.00
2013 01 01 13 40 999 99.0 99.0  2.27 18.18 11.24 290 9999.0 999.0  13.1 999.0 99.0 99.00
2013 01 01 14 10 999 99.0 99.0  2.62 18.18 12.44 291 9999.0 999.0  13.1 999.0 99.0 99.00
2013 01 01 14 40 999 99.0 99.0  2.55 16.67 12.49 291 9999.0 999.0  13.2 999.0 99.0 99.00
2013 01 01 15 10 999 99.0 99.0  2.21 16.67 12.10 290 9999.0 999.0  13.2 999.0 99.0 99.00
2013 01 01 15 40 999 99.0 99.0  2.38 16.67 12.26 287 9999.0 999.0  13.2 999.0 99.0 99.00
2013 01 01 16 10 999 99.0 99.0  2.50 18.18 12.86 284 9999.0 999.0  13.0 999.0 99.0 99.00
2013 01 01 16 40 999 99.0 99.0  2.22 16.67 12.05 289 9999.0 999.0  12.9 999.0 99.0 99.00
2013 01 01 17 10 999 99.0 99.0  2.50 16.67 12.81 287 9999.0 999.0  13.5 999.0 99.0 99.00
2013 01 01 17 40 999 99.0 99.0  2.34 16.67 12.55 287 9999.0 999.0  13.4 999.0 99.0 99.00
2013 01 01 18 10 999 99.0 99.0  2.44 16.67 12.67 293 9999.0 999.0  13.5 999.0 99.0 99.00
2013 01 01 18 40 999 99.0 99.0  2.03 16.67 11.51 284 9999.0 999.0  13.5 999.0 99.0 99.00
2013 01 01 19 10 999 99.0 99.0  2.55 15.38 12.87 286 9999.0 999.0  13.6 999.0 99.0 99.00
2013 01 01 19 40 999 99.0 99.0  2.40 16.67 12.72 283 9999.0 999.0  13.6 999.0 99.0 99.00
2013 01 01 20 10 999 99.0 99.0  2.38 16.67 12.36 286 9999.0 999.0  13.9 999.0 99.0 99.00
2013 01 01 20 40 999 99.0 99.0  2.33 16.67 12.25 296 9999.0 999.0  14.0 999.0 99.0 99.00
2013 01 01 21 10 999 99.0 99.0  2.64 16.67 13.15 289 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 01 21 40 999 99.0 99.0  2.51 15.38 12.68 290 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 01 22 10 999 99.0 99.0  2.76 15.38 13.38 294 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 01 22 40 999 99.0 99.0  2.62 15.38 13.12 287 9999.0 999.0  14.0 999.0 99.0 99.00
2013 01 01 23 10 999 99.0 99.0  2.79 15.38 13.26 289 9999.0 999.0  14.0 999.0 99.0 99.00
2013 01 01 23 40 999 99.0 99.0  2.46 16.67 12.98 290 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 00 10 999 99.0 99.0  2.26 15.38 12.32 291 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 00 40 999 99.0 99.0  2.65 15.38 13.04 293 9999.0 999.0  14.0 999.0 99.0 99.00
2013 01 02 01 10 999 99.0 99.0  2.38 15.38 12.76 291 9999.0 999.0  14.0 999.0 99.0 99.00
2013 01 02 01 40 999 99.0 99.0  2.90 14.29 13.73 286 9999.0 999.0  14.0 999.0 99.0 99.00
2013 01 02 02 10 999 99.0 99.0  2.62 15.38 13.30 291 9999.0 999.0  14.0 999.0 99.0 99.00
2013 01 02 02 40 999 99.0 99.0  2.61 15.38 13.60 283 9999.0 999.0  13.9 999.0 99.0 99.00
2013 01 02 03 10 999 99.0 99.0  2.83 15.38 13.67 287 9999.0 999.0  14.0 999.0 99.0 99.00
2013 01 02 03 40 999 99.0 99.0  2.84 16.67 13.81 293 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 04 10 999 99.0 99.0  2.07 14.29 12.60 291 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 04 40 999 99.0 99.0  2.22 16.67 12.91 287 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 05 10 999 99.0 99.0  2.23 16.67 13.21 284 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 05 40 999 99.0 99.0  2.20 16.67 12.87 289 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 06 10 999 99.0 99.0  2.03 14.29 11.40 283 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 06 40 999 99.0 99.0  2.20 15.38 12.06 291 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 07 10 999 99.0 99.0  2.08 16.67 12.21 284 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 07 40 999 99.0 99.0  2.02 16.67 12.65 297 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 08 10 999 99.0 99.0  2.11 14.29 12.57 283 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 08 40 999 99.0 99.0  1.93 14.29 12.66 290 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 09 10 999 99.0 99.0  2.27 15.38 13.43 286 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 09 40 999 99.0 99.0  2.52 15.38 13.72 286 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 10 10 999 99.0 99.0  2.44 15.38 13.18 289 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 10 40 999 99.0 99.0  2.19 15.38 13.07 279 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 11 10 999 99.0 99.0  2.36 16.67 13.18 294 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 11 40 999 99.0 99.0  2.03 16.67 12.58 283 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 12 10 999 99.0 99.0  2.02 15.38 12.16 291 9999.0 999.0  14.0 999.0 99.0 99.00
2013 01 02 12 40 999 99.0 99.0  2.20 15.38 12.21 286 9999.0 999.0  14.0 999.0 99.0 99.00
2013 01 02 13 10 999 99.0 99.0  2.34 14.29 12.01 297 9999.0 999.0  14.0 999.0 99.0 99.00
2013 01 02 13 40 999 99.0 99.0  2.37 15.38 11.96 286 9999.0 999.0  14.0 999.0 99.0 99.00
2013 01 02 14 10 999 99.0 99.0  2.01 16.67 11.18 275 9999.0 999.0  14.0 999.0 99.0 99.00
2013 01 02 14 40 999 99.0 99.0  2.17 15.38 11.76 291 9999.0 999.0  14.0 999.0 99.0 99.00
2013 01 02 15 10 999 99.0 99.0  2.31 15.38 12.54 289 9999.0 999.0  14.0 999.0 99.0 99.00
2013 01 02 15 40 999 99.0 99.0  2.01 15.38 11.88 282 9999.0 999.0  14.0 999.0 99.0 99.00
2013 01 02 16 10 999 99.0 99.0  1.97 15.38 12.29 286 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 16 40 999 99.0 99.0  2.23 14.29 12.85 286 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 17 10 999 99.0 99.0  1.92 14.29 12.39 287 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 17 40 999 99.0 99.0  2.05 15.38 12.36 284 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 18 10 999 99.0 99.0  1.80 14.29 11.39 291 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 18 40 999 99.0 99.0  1.92 15.38 11.98 287 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 19 10 999 99.0 99.0  1.91 14.29 12.18 284 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 19 40 999 99.0 99.0  2.02 15.38 12.19 283 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 20 10 999 99.0 99.0  1.88 14.29 11.31 289 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 20 40 999 99.0 99.0  2.10 13.33 11.48 291 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 21 10 999 99.0 99.0  1.91 14.29 10.79 283 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 21 40 999 99.0 99.0  1.99 16.67 10.54 279 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 22 10 999 99.0 99.0  1.95 13.33 10.42 290 9999.0 999.0  14.2 999.0 99.0 99.00
2013 01 02 22 40 999 99.0 99.0  1.91 16.67 10.28 280 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 23 10 999 99.0 99.0  1.75 15.38  9.50 273 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 02 23 40 999 99.0 99.0  1.91 13.33  9.91 277 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 00 10 999 99.0 99.0  1.97 16.67 10.21 277 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 00 40 999 99.0 99.0  1.82 15.38  9.87 277 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 01 10 999 99.0 99.0  1.81 16.67 10.23 276 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 01 40 999 99.0 99.0  1.72 15.38  9.99 275 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 02 10 999 99.0 99.0  1.96 15.38 10.73 277 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 02 40 999 99.0 99.0  1.87 15.38 10.88 286 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 03 10 999 99.0 99.0  1.97 15.38 10.48 263 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 03 40 999 99.0 99.0  1.91 14.29 10.42 277 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 04 10 999 99.0 99.0  2.05 15.38 10.51 275 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 04 40 999 99.0 99.0  1.90 14.29  9.57 282 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 05 10 999 99.0 99.0  2.01 13.33  9.11 273 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 05 40 999 99.0 99.0  1.92 16.67  9.00 284 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 06 10 999 99.0 99.0  2.28 15.38  9.94 277 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 06 40 999 99.0 99.0  1.85 14.29  8.30 273 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 07 10 999 99.0 99.0  1.93 15.38  9.13 284 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 07 40 999 99.0 99.0  1.95 15.38  9.22 280 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 08 10 999 99.0 99.0  1.79 14.29  8.68 275 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 08 40 999 99.0 99.0  1.81 16.67  9.18 283 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 09 10 999 99.0 99.0  1.68 14.29  8.98 282 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 09 40 999 99.0 99.0  1.85 15.38  9.27 279 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 10 10 999 99.0 99.0  2.00 15.38  9.44 286 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 10 40 999 99.0 99.0  1.87 15.38  9.28 286 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 11 10 999 99.0 99.0  2.01 14.29  9.88 279 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 11 40 999 99.0 99.0  1.85 15.38  9.33 283 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 12 10 999 99.0 99.0  1.80 14.29  9.38 279 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 12 40 999 99.0 99.0  1.91 14.29  9.52 279 9999.0 999.0  14.0 999.0 99.0 99.00
2013 01 03 13 10 999 99.0 99.0  1.68 15.38  8.61 277 9999.0 999.0  13.9 999.0 99.0 99.00
2013 01 03 13 40 999 99.0 99.0  1.78 14.29  9.11 277 9999.0 999.0  13.9 999.0 99.0 99.00
2013 01 03 14 10 999 99.0 99.0  1.67 14.29  8.90 287 9999.0 999.0  13.9 999.0 99.0 99.00
2013 01 03 14 40 999 99.0 99.0  1.67 15.38  8.68 283 9999.0 999.0  13.8 999.0 99.0 99.00
2013 01 03 15 10 999 99.0 99.0  1.64 16.67  9.67 276 9999.0 999.0  13.8 999.0 99.0 99.00
2013 01 03 15 40 999 99.0 99.0  1.83 15.38 10.30 275 9999.0 999.0  13.8 999.0 99.0 99.00
2013 01 03 16 10 999 99.0 99.0  2.07 15.38 11.14 279 9999.0 999.0  13.8 999.0 99.0 99.00
2013 01 03 16 40 999 99.0 99.0  1.68 15.38 10.44 280 9999.0 999.0  13.9 999.0 99.0 99.00
2013 01 03 17 10 999 99.0 99.0  1.59 14.29 10.01 280 9999.0 999.0  13.9 999.0 99.0 99.00
2013 01 03 17 40 999 99.0 99.0  1.59 15.38  9.93 275 9999.0 999.0  14.0 999.0 99.0 99.00
2013 01 03 18 10 999 99.0 99.0  1.66 15.38 10.49 279 9999.0 999.0  14.0 999.0 99.0 99.00
2013 01 03 18 40 999 99.0 99.0  1.68 15.38  9.89 282 9999.0 999.0  14.0 999.0 99.0 99.00
2013 01 03 19 10 999 99.0 99.0  2.00 16.67 10.83 266 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 19 40 999 99.0 99.0  1.74 14.29  9.95 283 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 20 10 999 99.0 99.0  1.97 15.38 10.77 270 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 20 40 999 99.0 99.0  1.89 14.29  9.88 275 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 21 10 999 99.0 99.0  1.82 14.29 10.11 275 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 21 40 999 99.0 99.0  1.91 13.33 10.23 275 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 22 10 999 99.0 99.0  2.04 13.33 10.03 284 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 22 40 999 99.0 99.0  2.01 15.38 10.32 286 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 23 10 999 99.0 99.0  1.88 14.29 10.15 282 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 03 23 40 999 99.0 99.0  2.19 12.50 10.61 277 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 04 00 10 999 99.0 99.0  1.96 13.33  9.74 282 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 04 00 40 999 99.0 99.0  2.34 14.29 11.16 282 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 04 01 10 999 99.0 99.0  2.05 13.33 10.69 279 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 04 01 40 999 99.0 99.0  2.03 14.29 10.57 283 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 04 02 10 999 99.0 99.0  2.25 13.33 10.43 279 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 04 02 40 999 99.0 99.0  2.30 15.38 10.49 277 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 04 03 10 999 99.0 99.0  2.16 12.50  9.80 273 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 04 03 40 999 99.0 99.0  2.17 15.38  9.63 279 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 04 04 10 999 99.0 99.0  2.46 14.29  9.54 286 9999.0 999.0  14.0 999.0 99.0 99.00
2013 01 04 04 40 999 99.0 99.0  2.22 15.38  9.47 293 9999.0 999.0  14.0 999.0 99.0 99.00
2013 01 04 05 10 999 99.0 99.0  2.40 15.38  9.46 284 9999.0 999.0  13.9 999.0 99.0 99.00
2013 01 04 05 40 999 99.0 99.0  2.17 13.33  8.73 284 9999.0 999.0  13.8 999.0 99.0 99.00
2013 01 04 06 10 999 99.0 99.0  2.20 15.38  8.36 280 9999.0 999.0  13.8 999.0 99.0 99.00
2013 01 04 06 40 999 99.0 99.0  2.25 14.29  8.26 283 9999.0 999.0  13.8 999.0 99.0 99.00
2013 01 04 07 10 999 99.0 99.0  2.46 14.29  8.61 277 9999.0 999.0  13.7 999.0 99.0 99.00
2013 01 04 07 40 999 99.0 99.0  2.40 14.29  9.24 284 9999.0 999.0  13.7 999.0 99.0 99.00
2013 01 04 08 10 999 99.0 99.0  2.66 14.29  9.60 279 9999.0 999.0  13.6 999.0 99.0 99.00
2013 01 04 09 10 999 99.0 99.0  2.35 14.29  9.76 287 9999.0 999.0  13.7 999.0 99.0 99.00
2013 01 04 09 40 999 99.0 99.0  2.52 13.33 10.51 289 9999.0 999.0  13.7 999.0 99.0 99.00
2013 01 04 10 10 999 99.0 99.0  2.53 13.33 10.44 286 9999.0 999.0  13.8 999.0 99.0 99.00
2013 01 04 10 40 999 99.0 99.0  2.38 14.29 10.28 280 9999.0 999.0  13.8 999.0 99.0 99.00
2013 01 04 11 10 999 99.0 99.0  2.43 15.38 10.11 277 9999.0 999.0  13.8 999.0 99.0 99.00
2013 01 04 11 40 999 99.0 99.0  2.79 13.33 10.79 287 9999.0 999.0  13.8 999.0 99.0 99.00
