#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 01 00 22 999 99.0 99.0  1.56 11.11  9.00 310 9999.0 999.0  13.9 999.0 99.0 99.00
2016 01 01 00 52 999 99.0 99.0  1.65 12.50  9.45 297 9999.0 999.0  13.9 999.0 99.0 99.00
2016 01 01 01 22 999 99.0 99.0  1.72 11.76  9.50 303 9999.0 999.0  13.9 999.0 99.0 99.00
2016 01 01 02 22 999 99.0 99.0  1.44 12.50  9.13 296 9999.0 999.0  14.0 999.0 99.0 99.00
2016 01 01 02 52 999 99.0 99.0  1.43 11.11  9.48 293 9999.0 999.0  14.0 999.0 99.0 99.00
2016 01 01 03 22 999 99.0 99.0  1.30 11.76  9.29 295 9999.0 999.0  14.0 999.0 99.0 99.00
2016 01 01 03 52 999 99.0 99.0  1.45 11.76  9.54 299 9999.0 999.0  14.0 999.0 99.0 99.00
2016 01 01 04 22 999 99.0 99.0  1.30 12.50  8.77 296 9999.0 999.0  13.9 999.0 99.0 99.00
2016 01 01 04 52 999 99.0 99.0  1.26 10.53  8.59 297 9999.0 999.0  14.0 999.0 99.0 99.00
2016 01 01 05 22 999 99.0 99.0  1.37 11.11  9.36 297 9999.0 999.0  14.0 999.0 99.0 99.00
2016 01 01 06 22 999 99.0 99.0  1.31 11.76  8.87 296 9999.0 999.0  14.0 999.0 99.0 99.00
2016 01 01 06 52 999 99.0 99.0  1.41 15.38  9.37 309 9999.0 999.0  14.0 999.0 99.0 99.00
2016 01 01 07 22 999 99.0 99.0  1.31 14.29  9.05 275 9999.0 999.0  14.0 999.0 99.0 99.00
2016 01 01 07 52 999 99.0 99.0  1.32 15.38  9.26 299 9999.0 999.0  14.1 999.0 99.0 99.00
2016 01 01 08 22 999 99.0 99.0  1.26 12.50  9.17 285 9999.0 999.0  14.0 999.0 99.0 99.00
2016 01 01 08 52 999 99.0 99.0  1.38 11.11  9.35 299 9999.0 999.0  14.0 999.0 99.0 99.00
2016 01 01 09 22 999 99.0 99.0  1.22 15.38  9.39 302 9999.0 999.0  14.0 999.0 99.0 99.00
2016 01 01 10 22 999 99.0 99.0  1.21 15.38  9.15 307 9999.0 999.0  14.0 999.0 99.0 99.00
2016 01 01 10 52 999 99.0 99.0  1.22 14.29  9.11 295 9999.0 999.0  14.0 999.0 99.0 99.00
2016 01 01 11 22 999 99.0 99.0  1.29 11.11  9.01 299 9999.0 999.0  14.1 999.0 99.0 99.00
2016 01 01 11 52 999 99.0 99.0  1.31 14.29  9.61 299 9999.0 999.0  14.1 999.0 99.0 99.00
2016 01 01 12 22 999 99.0 99.0  1.30 14.29  9.39 305 9999.0 999.0  14.1 999.0 99.0 99.00
2016 01 01 12 52 999 99.0 99.0  1.23 14.29  9.46 297 9999.0 999.0  14.1 999.0 99.0 99.00
2016 01 01 13 22 999 99.0 99.0  1.17 14.29  9.35 290 9999.0 999.0  14.1 999.0 99.0 99.00
2016 01 01 14 22 999 99.0 99.0  1.17 12.50  9.40 267 9999.0 999.0  14.1 999.0 99.0 99.00
2016 01 01 14 52 999 99.0 99.0  1.08 11.76  8.94 272 9999.0 999.0  14.1 999.0 99.0 99.00
2016 01 01 15 22 999 99.0 99.0  1.11 13.33  9.58 295 9999.0 999.0  14.1 999.0 99.0 99.00
2016 01 01 15 52 999 99.0 99.0  1.15 14.29  9.36 293 9999.0 999.0  14.1 999.0 99.0 99.00
2016 01 01 16 22 999 99.0 99.0  1.25 13.33  9.78 290 9999.0 999.0  14.2 999.0 99.0 99.00
2016 01 01 16 52 999 99.0 99.0  1.10 14.29  9.31 293 9999.0 999.0  14.2 999.0 99.0 99.00
2016 01 01 17 22 999 99.0 99.0  1.25 14.29 10.05 290 9999.0 999.0  14.2 999.0 99.0 99.00
2016 01 01 18 22 999 99.0 99.0  1.24 14.29  8.78 289 9999.0 999.0  14.2 999.0 99.0 99.00
2016 01 01 18 52 999 99.0 99.0  1.34 14.29  7.27 299 9999.0 999.0  14.2 999.0 99.0 99.00
