#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 01 00 26 999 99.0 99.0  3.82 16.67  8.53 295 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 00 56 999 99.0 99.0  3.83 11.76  8.67 305 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 01 26 999 99.0 99.0  3.98 16.67  9.17 299 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 01 56 999 99.0 99.0  3.63 14.29  9.01 302 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 02 26 999 99.0 99.0  3.53 15.38  8.77 303 9999.0 999.0  13.4 999.0 99.0 99.00
2021 01 01 02 56 999 99.0 99.0  3.95 16.67  9.26 296 9999.0 999.0  13.4 999.0 99.0 99.00
2021 01 01 03 26 999 99.0 99.0  3.92 16.67  9.19 297 9999.0 999.0  13.4 999.0 99.0 99.00
2021 01 01 04 26 999 99.0 99.0  3.74 16.67  9.56 302 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 04 56 999 99.0 99.0  3.77 16.67  9.80 297 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 05 26 999 99.0 99.0  3.89 16.67  9.93 295 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 05 56 999 99.0 99.0  3.73 16.67  9.55 303 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 06 26 999 99.0 99.0  3.84 16.67  9.84 297 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 06 56 999 99.0 99.0  3.87 16.67  9.82 300 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 07 26 999 99.0 99.0  3.80 16.67 10.00 306 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 07 56 999 99.0 99.0  3.78 15.38  9.85 307 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 08 26 999 99.0 99.0  3.68 16.67  9.91 303 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 08 56 999 99.0 99.0  3.98 16.67 10.26 302 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 09 26 999 99.0 99.0  4.14 16.67 10.24 300 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 09 56 999 99.0 99.0  4.15 13.33 10.03 310 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 10 26 999 99.0 99.0  3.84 16.67  9.87 303 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 10 56 999 99.0 99.0  4.15 15.38 10.44 300 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 11 26 999 99.0 99.0  4.19 15.38  9.98 300 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 11 56 999 99.0 99.0  4.19 15.38 10.42 303 9999.0 999.0  13.2 999.0 99.0 99.00
2021 01 01 12 26 999 99.0 99.0  4.06 15.38 10.05 297 9999.0 999.0  13.2 999.0 99.0 99.00
2021 01 01 12 56 999 99.0 99.0  4.27 15.38 10.79 299 9999.0 999.0  13.2 999.0 99.0 99.00
2021 01 01 13 26 999 99.0 99.0  4.27 15.38 10.91 299 9999.0 999.0  13.2 999.0 99.0 99.00
2021 01 01 13 56 999 99.0 99.0  3.90 13.33 10.42 305 9999.0 999.0  13.2 999.0 99.0 99.00
2021 01 01 14 26 999 99.0 99.0  3.85 15.38 10.49 302 9999.0 999.0  13.2 999.0 99.0 99.00
2021 01 01 14 56 999 99.0 99.0  3.79 16.67 10.37 303 9999.0 999.0  13.2 999.0 99.0 99.00
2021 01 01 15 26 999 99.0 99.0  3.92 16.67 10.72 296 9999.0 999.0  13.2 999.0 99.0 99.00
2021 01 01 15 56 999 99.0 99.0  3.60 15.38 10.27 295 9999.0 999.0  13.2 999.0 99.0 99.00
2021 01 01 16 26 999 99.0 99.0  3.75 15.38 10.78 296 9999.0 999.0  13.2 999.0 99.0 99.00
2021 01 01 16 56 999 99.0 99.0  3.95 15.38 11.21 296 9999.0 999.0  13.2 999.0 99.0 99.00
2021 01 01 17 26 999 99.0 99.0  3.46 15.38 10.77 296 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 17 56 999 99.0 99.0  3.72 12.50 10.79 299 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 18 26 999 99.0 99.0  3.45 15.38 10.67 296 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 18 56 999 99.0 99.0  3.35 13.33 10.54 300 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 19 26 999 99.0 99.0  3.28 11.76 10.41 310 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 19 56 999 99.0 99.0  3.32 14.29 10.86 303 9999.0 999.0  13.4 999.0 99.0 99.00
2021 01 01 20 26 999 99.0 99.0  3.22 16.67 10.69 293 9999.0 999.0  13.4 999.0 99.0 99.00
2021 01 01 20 56 999 99.0 99.0  3.17 12.50 10.25 306 9999.0 999.0  13.4 999.0 99.0 99.00
2021 01 01 21 26 999 99.0 99.0  3.46 11.76 10.46 303 9999.0 999.0  13.4 999.0 99.0 99.00
2021 01 01 21 56 999 99.0 99.0  3.42 15.38 10.47 297 9999.0 999.0  13.4 999.0 99.0 99.00
2021 01 01 22 26 999 99.0 99.0  3.18 13.33  9.96 306 9999.0 999.0  13.4 999.0 99.0 99.00
2021 01 01 22 56 999 99.0 99.0  3.38 16.67 10.14 293 9999.0 999.0  13.4 999.0 99.0 99.00
2021 01 01 23 26 999 99.0 99.0  2.96 13.33  9.84 300 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 01 23 56 999 99.0 99.0  3.16 16.67 10.18 293 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 02 00 26 999 99.0 99.0  2.95 13.33  9.51 300 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 02 00 56 999 99.0 99.0  2.46 15.38  9.06 300 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 02 01 26 999 99.0 99.0  2.90 16.67 10.01 292 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 02 01 56 999 99.0 99.0  2.75 15.38  9.88 296 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 02 02 26 999 99.0 99.0  2.73 12.50  9.98 295 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 02 02 56 999 99.0 99.0  2.72 13.33 10.07 299 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 02 03 26 999 99.0 99.0  2.93 15.38 10.47 292 9999.0 999.0  13.3 999.0 99.0 99.00
2021 01 02 03 56 999 99.0 99.0  2.68 12.50  9.94 297 9999.0 999.0  13.3 999.0 99.0 99.00
