#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 01 00 29 999 99.0 99.0  2.77  9.88  7.40 320 9999.0 999.0  15.8 999.0 99.0 99.00
2015 01 01 00 59 999 99.0 99.0  2.60  9.88  7.49 312 9999.0 999.0  15.8 999.0 99.0 99.00
2015 01 01 01 29 999 99.0 99.0  2.65  9.88  7.37 314 9999.0 999.0  15.9 999.0 99.0 99.00
2015 01 01 01 59 999 99.0 99.0  2.40  9.09  7.45 317 9999.0 999.0  15.8 999.0 99.0 99.00
2015 01 01 02 29 999 99.0 99.0  2.21  9.09  7.11 317 9999.0 999.0  15.9 999.0 99.0 99.00
2015 01 01 02 59 999 99.0 99.0  2.12  9.09  7.04 321 9999.0 999.0  15.9 999.0 99.0 99.00
2015 01 01 03 29 999 99.0 99.0  2.22  9.09  7.17 319 9999.0 999.0  15.9 999.0 99.0 99.00
2015 01 01 03 59 999 99.0 99.0  2.10  9.09  7.08 321 9999.0 999.0  16.0 999.0 99.0 99.00
2015 01 01 04 29 999 99.0 99.0  2.20  9.09  7.23 319 9999.0 999.0  16.0 999.0 99.0 99.00
2015 01 01 04 59 999 99.0 99.0  2.21  9.09  7.31 319 9999.0 999.0  16.0 999.0 99.0 99.00
2015 01 01 05 29 999 99.0 99.0  2.13  8.33  7.02 320 9999.0 999.0  15.9 999.0 99.0 99.00
2015 01 01 05 59 999 99.0 99.0  2.07  9.09  7.11 314 9999.0 999.0  15.9 999.0 99.0 99.00
2015 01 01 06 29 999 99.0 99.0  1.93  7.14  6.85 319 9999.0 999.0  15.9 999.0 99.0 99.00
2015 01 01 06 59 999 99.0 99.0  1.88  8.33  6.90 317 9999.0 999.0  15.9 999.0 99.0 99.00
2015 01 01 07 29 999 99.0 99.0  1.92  8.33  6.96 316 9999.0 999.0  15.8 999.0 99.0 99.00
2015 01 01 07 59 999 99.0 99.0  1.90  8.33  6.95 317 9999.0 999.0  15.8 999.0 99.0 99.00
2015 01 01 08 29 999 99.0 99.0  1.92  7.69  6.95 320 9999.0 999.0  15.8 999.0 99.0 99.00
2015 01 01 08 59 999 99.0 99.0  1.69  7.69  6.68 320 9999.0 999.0  15.8 999.0 99.0 99.00
2015 01 01 09 29 999 99.0 99.0  1.60  8.33  6.69 319 9999.0 999.0  15.8 999.0 99.0 99.00
2015 01 01 09 59 999 99.0 99.0  1.58  7.69  6.45 317 9999.0 999.0  15.8 999.0 99.0 99.00
2015 01 01 10 29 999 99.0 99.0  1.57  7.69  6.69 313 9999.0 999.0  15.8 999.0 99.0 99.00
2015 01 01 10 59 999 99.0 99.0  1.55 13.33  6.58 295 9999.0 999.0  15.9 999.0 99.0 99.00
2015 01 01 11 29 999 99.0 99.0  1.58 12.50  6.84 285 9999.0 999.0  15.9 999.0 99.0 99.00
2015 01 01 11 59 999 99.0 99.0  1.45  6.67  6.54 321 9999.0 999.0  15.9 999.0 99.0 99.00
2015 01 01 12 29 999 99.0 99.0  1.29 13.33  6.51 288 9999.0 999.0  15.9 999.0 99.0 99.00
2015 01 01 12 59 999 99.0 99.0  1.29 12.50  6.43 286 9999.0 999.0  15.8 999.0 99.0 99.00
2015 01 01 13 29 999 99.0 99.0  1.31 13.33  6.61 292 9999.0 999.0  15.8 999.0 99.0 99.00
2015 01 01 13 59 999 99.0 99.0  1.36 13.33  6.58 299 9999.0 999.0  15.7 999.0 99.0 99.00
2015 01 01 14 29 999 99.0 99.0  1.27 13.33  6.82 290 9999.0 999.0  15.7 999.0 99.0 99.00
2015 01 01 14 59 999 99.0 99.0  1.21 13.33  6.67 283 9999.0 999.0  15.6 999.0 99.0 99.00
2015 01 01 15 29 999 99.0 99.0  1.18 13.33  6.61 278 9999.0 999.0  15.6 999.0 99.0 99.00
2015 01 01 15 59 999 99.0 99.0  1.19 11.76  6.84 282 9999.0 999.0  15.6 999.0 99.0 99.00
2015 01 01 16 29 999 99.0 99.0  1.16 13.33  6.74 292 9999.0 999.0  15.6 999.0 99.0 99.00
2015 01 01 16 59 999 99.0 99.0  1.15 12.50  6.71 295 9999.0 999.0  15.6 999.0 99.0 99.00
