#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 01 01 00 00 999 99.0 99.0  1.14 10.53  8.30 295 9999.0 999.0  15.4 999.0 99.0 99.00
2018 01 01 00 30 999 99.0 99.0  1.05 10.53  8.10 299 9999.0 999.0  15.4 999.0 99.0 99.00
2018 01 01 01 00 999 99.0 99.0  1.06  9.88  8.23 295 9999.0 999.0  15.4 999.0 99.0 99.00
2018 01 01 01 30 999 99.0 99.0  1.07 10.53  8.39 286 9999.0 999.0  15.4 999.0 99.0 99.00
2018 01 01 02 00 999 99.0 99.0  1.15 11.11  8.82 290 9999.0 999.0  15.4 999.0 99.0 99.00
2018 01 01 02 30 999 99.0 99.0  1.13 10.53  8.51 295 9999.0 999.0  15.3 999.0 99.0 99.00
2018 01 01 03 30 999 99.0 99.0  1.16  9.88  8.82 302 9999.0 999.0  15.4 999.0 99.0 99.00
2018 01 01 04 00 999 99.0 99.0  1.15 10.53  8.74 290 9999.0 999.0  15.3 999.0 99.0 99.00
2018 01 01 04 30 999 99.0 99.0  1.04 11.11  8.54 300 9999.0 999.0  15.3 999.0 99.0 99.00
2018 01 01 05 00 999 99.0 99.0  1.12 10.53  8.76 290 9999.0 999.0  15.2 999.0 99.0 99.00
2018 01 01 05 30 999 99.0 99.0  1.13 10.53  8.59 305 9999.0 999.0  15.2 999.0 99.0 99.00
2018 01 01 06 00 999 99.0 99.0  1.09 11.11  8.44 303 9999.0 999.0  15.2 999.0 99.0 99.00
2018 01 01 06 30 999 99.0 99.0  0.98 10.53  8.39 290 9999.0 999.0  15.2 999.0 99.0 99.00
2018 01 01 07 00 999 99.0 99.0  1.00  9.88  8.40 297 9999.0 999.0  15.1 999.0 99.0 99.00
2018 01 01 07 30 999 99.0 99.0  1.01 10.53  8.57 283 9999.0 999.0  15.1 999.0 99.0 99.00
2018 01 01 08 00 999 99.0 99.0  1.05 10.53  8.68 279 9999.0 999.0  15.1 999.0 99.0 99.00
2018 01 01 08 30 999 99.0 99.0  1.08 11.76  8.49 283 9999.0 999.0  15.1 999.0 99.0 99.00
2018 01 01 09 00 999 99.0 99.0  0.98 10.53  7.72 292 9999.0 999.0  15.1 999.0 99.0 99.00
2018 01 01 09 30 999 99.0 99.0  0.98  9.88  7.42 285 9999.0 999.0  15.0 999.0 99.0 99.00
2018 01 01 10 00 999 99.0 99.0  0.99 10.53  7.13 297 9999.0 999.0  15.0 999.0 99.0 99.00
2018 01 01 10 30 999 99.0 99.0  1.05  9.88  7.48 288 9999.0 999.0  14.9 999.0 99.0 99.00
2018 01 01 11 00 999 99.0 99.0  0.99 10.53  7.21 276 9999.0 999.0  14.8 999.0 99.0 99.00
2018 01 01 11 30 999 99.0 99.0  1.02 10.53  7.37 279 9999.0 999.0  14.8 999.0 99.0 99.00
2018 01 01 12 00 999 99.0 99.0  0.98 10.53  6.75 278 9999.0 999.0  14.6 999.0 99.0 99.00
2018 01 01 12 30 999 99.0 99.0  0.94 11.11  6.65 288 9999.0 999.0  14.6 999.0 99.0 99.00
2018 01 01 13 00 999 99.0 99.0  0.90 13.33  6.50 224 9999.0 999.0  14.6 999.0 99.0 99.00
2018 01 01 13 30 999 99.0 99.0  0.93 11.11  6.43 286 9999.0 999.0  14.7 999.0 99.0 99.00
2018 01 01 14 00 999 99.0 99.0  0.94 11.11  6.41 293 9999.0 999.0  14.7 999.0 99.0 99.00
2018 01 01 14 30 999 99.0 99.0  0.96 10.53  6.48 267 9999.0 999.0  14.7 999.0 99.0 99.00
2018 01 01 15 00 999 99.0 99.0  0.95 10.53  6.54 282 9999.0 999.0  14.7 999.0 99.0 99.00
2018 01 01 15 30 999 99.0 99.0  0.89 10.53  6.01 254 9999.0 999.0  14.6 999.0 99.0 99.00
2018 01 01 16 00 999 99.0 99.0  0.99  9.88  6.30 276 9999.0 999.0  14.5 999.0 99.0 99.00
2018 01 01 16 30 999 99.0 99.0  0.93 10.53  6.25 289 9999.0 999.0  14.4 999.0 99.0 99.00
