#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 01 00 00 999 99.0 99.0  2.87 12.50  8.88 305 9999.0 999.0  13.5 999.0 99.0 99.00
2017 01 01 00 30 999 99.0 99.0  2.79 11.76  8.63 300 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 01 00 999 99.0 99.0  2.47 10.53  8.39 316 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 01 30 999 99.0 99.0  2.82 11.11  8.90 313 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 02 00 999 99.0 99.0  2.84 11.11  8.94 309 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 02 30 999 99.0 99.0  2.97 11.11  8.95 309 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 03 00 999 99.0 99.0  2.71 11.76  8.78 316 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 03 30 999 99.0 99.0  2.97 10.53  9.14 312 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 04 00 999 99.0 99.0  3.13 12.50  9.65 306 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 04 30 999 99.0 99.0  2.67 13.33  8.86 310 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 05 00 999 99.0 99.0  3.03 11.11  9.43 310 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 05 30 999 99.0 99.0  3.18 11.76  9.52 309 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 06 00 999 99.0 99.0  3.05 12.50  9.94 317 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 06 30 999 99.0 99.0  3.01 11.76  9.61 314 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 07 00 999 99.0 99.0  2.97 13.33  9.26 314 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 07 30 999 99.0 99.0  3.04 11.76  9.12 310 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 08 00 999 99.0 99.0  2.94 11.76  9.01 317 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 08 30 999 99.0 99.0  2.79 14.29  8.61 299 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 09 00 999 99.0 99.0  2.87 11.76  8.94 313 9999.0 999.0  13.4 999.0 99.0 99.00
2017 01 01 09 30 999 99.0 99.0  3.08 12.50  8.84 312 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 10 00 999 99.0 99.0  3.20 13.33  9.05 307 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 10 30 999 99.0 99.0  3.28 13.33  9.06 312 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 11 00 999 99.0 99.0  2.91 13.33  8.68 302 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 11 30 999 99.0 99.0  2.75 11.76  8.14 312 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 12 00 999 99.0 99.0  2.84 13.33  8.26 305 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 12 30 999 99.0 99.0  2.72 12.50  8.23 307 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 13 00 999 99.0 99.0  2.94  9.88  8.39 300 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 13 30 999 99.0 99.0  2.77 11.76  8.20 313 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 14 00 999 99.0 99.0  2.70 12.50  8.32 312 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 14 30 999 99.0 99.0  2.59 12.50  8.05 303 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 15 00 999 99.0 99.0  2.32 12.50  8.01 303 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 15 30 999 99.0 99.0  2.47 11.76  7.94 306 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 16 00 999 99.0 99.0  2.62 12.50  8.56 309 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 16 30 999 99.0 99.0  2.37 12.50  7.98 309 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 17 00 999 99.0 99.0  2.52 12.50  8.22 303 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 17 30 999 99.0 99.0  2.38 11.11  8.07 310 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 18 00 999 99.0 99.0  2.37 12.50  8.16 312 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 18 30 999 99.0 99.0  2.66 11.76  8.15 314 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 19 00 999 99.0 99.0  2.46 12.50  7.81 306 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 19 30 999 99.0 99.0  2.38 11.76  7.64 303 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 20 00 999 99.0 99.0  2.58 11.76  7.95 303 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 20 30 999 99.0 99.0  2.54 12.50  7.36 306 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 21 00 999 99.0 99.0  2.56 11.11  7.15 312 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 21 30 999 99.0 99.0  2.41 12.50  7.00 300 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 22 00 999 99.0 99.0  2.42 13.33  6.80 296 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 22 30 999 99.0 99.0  2.62 10.53  6.97 312 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 23 00 999 99.0 99.0  2.41 10.53  6.81 310 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 01 23 30 999 99.0 99.0  2.59 11.11  7.17 313 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 02 00 00 999 99.0 99.0  2.55 12.50  7.00 305 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 02 00 30 999 99.0 99.0  2.72  9.88  7.27 316 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 02 01 00 999 99.0 99.0  2.57  9.88  7.19 312 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 02 01 30 999 99.0 99.0  2.60 11.11  7.39 305 9999.0 999.0  13.3 999.0 99.0 99.00
2017 01 02 02 00 999 99.0 99.0  2.70 10.53  7.29 312 9999.0 999.0  13.3 999.0 99.0 99.00
